name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Charlie Parker- Confirmation-yXK0pZx92MU.mp3,103.359375, 307, 0.3977582714916263, 0.15371392667293549,2808.9036010064847, 2948.9242115985207, 5910.835091322199, 0.06645856134908733,135.1511326262411,-42.17537020381288,65.31934112104295,-13.549847410667667,19.063650574676476,0.014256848147450749,6.100447377824171,-5.21882583658593,8.079909746288456,-5.189415824026137,4.878708760921298,Jazz
SONNY ROLLINS.St. Thomas-UA2XIWZxMKM.mp3,105.46875, 314, 0.46912407329475875, 0.1093825176358223,2112.364780574234, 2720.17439881924, 4326.840502854102, 0.040777688671068756,147.67245299299265,-0.03925264254924019,43.05524583393753,-0.250745836813486,14.889901439857159,-3.106842815382927,1.8240965055845704,-4.916381078224537,-0.7270153889281509,-1.9529878172512423,-2.656883233662705,Jazz
Chilli Peppers - Duke Pearson-YjRWditGKRY.mp3,191.40625, 563, 0.4098327383383555, 0.1012122705578804,3266.2530161858563, 3812.8610769118254, 7503.4782386047555, 0.06832715675188661,128.30868523955655,-20.65951951399612,39.40469327812846,-17.49635670571202,26.535852981827144,-16.341743148288995,13.147564912338467,-11.135939806916157,-1.1813563248989873,-4.54131688849813,6.989065135965486,Jazz
Benny Goodman   'Don't Be That Way'-kOO8Gzr__zc.mp3,161.4990234375, 473, 0.38852695254033986, 0.0872095376253128,2052.2008045639795, 2172.4928897749883, 4157.277639288652, 0.056422246375935244,161.68041108130785,-44.2207340686081,47.37630331000619,-0.01108719339636171,-3.5425502907203295,9.246728478508777,-2.436126645469253,-0.22711988429266933,-4.595326476313079,-2.3282385280679234,0.69957338001853,Jazz
Freddie Hubbard - Red Clay (Complete)-wA1ZelIbUfI.mp3,137.1951219512195, 406, 0.398844866002883, 0.08209976553916931,2693.9256341615655, 3088.135103342431, 5690.007258829107, 0.05519172359230564,149.06743180825106,-32.95380200021666,53.797887780896616,-11.985473739178577,27.887745690111093,-7.320283853059542,9.891442538592164,1.220224735729678,1.5298719998993688,2.0935349411663027,-3.1570785197827487,Jazz
Billie's Bounce _ Charlie Parker　The Savoy Recordings-S4mRaEzwTYo.mp3,161.4990234375, 475, 0.3406801132250227, 0.10786284506320953,1690.1575412184052, 2059.2001691541554, 3129.2949664703465, 0.0400588406620872,178.69350274239363,-41.88792494183511,22.208391085334483,16.8740273972862,-0.13504551589534441,0.9566569626671318,7.156585073577062,-5.633640529388312,-1.0202997359172685,-1.8277944097304233,-2.233134098098511,Jazz
Hank Mobley - Soul Station  1960 HQ-9ohyLzAu_qM.mp3,101.33272058823529, 303, 0.3349216946562239, 0.14426760375499725,3215.6890619691058, 3994.8221240213506, 7547.893247811049, 0.059385600842927634,129.98873264046344,-10.079181794585619,41.5983896382333,-16.786130918169818,23.256488875114425,-18.73204593385923,11.064820448927632,-23.120921001633867,6.027056093293346,-16.10448546065536,8.293994612126511,Jazz
More Today Than Yesterday-Charles Earland-1970-WqEweV0eScg.mp3,137.1951219512195, 410, 0.44550544565127376, 0.16448535025119781,1853.909164730064, 2689.4725376425076, 4040.336961513392, 0.0332673283712817,173.3202379944756,-11.971970900485516,57.86460190566861,-19.77482166743228,22.77506963320584,2.341405673104154,4.625565945927915,11.923731155773783,-7.648908918490642,5.910920522822882,-6.094284710320894,Jazz
Art Blakey & the Jazz Messengers - Moanin'-8TdY6iqV2k0.mp3,129.19921875, 384, 0.35570124864330627, 0.13869710266590118,3389.8647351978393, 3957.8454142327337, 7763.751664766955, 0.0715007644196659,128.12229610127525,-15.990808556852924,27.281749647491832,-15.15327827906383,31.52330492587413,-18.709416248522487,14.560477050140749,-16.305467321873806,6.50038058324142,-16.355724480475843,6.143034075513575,Jazz
LESTER LEAPS IN    Count Basie Kansas City 7 FEATURING LESTER YOUNG-f60JYoHdfVM.mp3,123.046875, 369, 0.38613871040756115, 0.0954606756567955,2838.4591063292846, 3708.104239844347, 6680.558214689556, 0.036907688136932404,117.49064913203291,7.501705177985268,54.84794023180433,-7.980457325822296,12.247055389419318,0.46066904067952197,18.785586067101445,-7.13373621638728,4.002578155643341,-0.28842816567513857,2.1244169084153377,Jazz
